Date,Open,High,Low,Close,Volume
28-Jun-17,978.55,990.68,969.21,990.33,3737567
27-Jun-17,990.69,998.8,976,976.78,3782389
26-Jun-17,1008.5,1009.8,992,993.98,3386157
23-Jun-17,1002.54,1004.62,998.02,1003.74,2879145
22-Jun-17,1002.23,1006.96,997.2,1001.3,2253433
21-Jun-17,998.7,1002.72,992.65,1002.23,2922473
20-Jun-17,998,1004.88,992.02,992.59,4076828
19-Jun-17,1017,1017,989.9,995.17,5043408
16-Jun-17,996,999.75,982,987.71,11472662
15-Jun-17,958.7,965.73,950.86,964.17,5373865
14-Jun-17,988.59,990.34,966.71,976.47,3974900
13-Jun-17,977.99,984.5,966.1,980.79,4580011
12-Jun-17,967,975.95,945,964.91,9447233
9-Jun-17,1012.5,1012.99,927,978.31,7647692
8-Jun-17,1012.06,1013.61,1006.11,1010.27,2767857
7-Jun-17,1005.95,1010.25,1002,1010.07,2823041
6-Jun-17,1012,1016.5,1001.25,1003,3346432
5-Jun-17,1007.23,1013.21,1003.51,1011.34,2719859
2-Jun-17,998.99,1008.48,995.67,1006.73,3752328
1-Jun-17,998.59,998.99,991.37,995.95,2454841
31-May-17,1000,1000.12,982.16,994.62,3913115
30-May-17,996.51,1001.2,995.52,996.7,3263069
26-May-17,995,998.65,989.25,995.78,3469154
25-May-17,984.85,999,982.11,993.38,4822032
24-May-17,976,981,970.23,980.35,2463052
23-May-17,975.02,975.2,966.85,971.54,2415594
22-May-17,964,971.38,962.9,970.67,2642217
19-May-17,962.84,968.92,959.72,959.84,3972089
18-May-17,944.8,962.75,944.76,958.49,3939347
17-May-17,954.7,960.4,944.12,944.76,5145578
16-May-17,961,970.06,960.91,966.07,3126051
15-May-17,958.73,963.15,956.06,957.97,4270625
12-May-17,954.5,962.79,951.53,961.35,3625857
11-May-17,945.11,950.29,940.78,947.62,2194070
10-May-17,953.5,953.75,945,948.95,2096512
9-May-17,952.8,957.89,950.2,952.82,3262113
8-May-17,940.95,949.05,939.21,949.04,3415731
5-May-17,940.52,940.79,930.3,934.15,2866397
4-May-17,944.75,945,934.22,937.53,2418381
3-May-17,946,946,935.9,941.03,3582686
2-May-17,946.64,950.1,941.41,946.94,3848835
1-May-17,927.8,954.4,927.8,948.23,5466544
28-Apr-17,948.83,949.59,924.33,924.99,7364681
27-Apr-17,914.39,921.86,912.11,918.38,5305543
26-Apr-17,910.3,915.75,907.56,909.29,2608948
25-Apr-17,907.04,909.48,903,907.62,3380639
24-Apr-17,908.68,909.99,903.82,907.41,3122893
21-Apr-17,902.67,903.65,896.77,898.53,2420494
20-Apr-17,899.7,905.32,896.29,902.06,2814441
19-Apr-17,907.84,910.5,897.37,899.2,2870242
18-Apr-17,900.99,909.61,900.78,903.78,2999238
17-Apr-17,887.5,902.38,887.5,901.99,2854673
13-Apr-17,891.45,894.97,884.49,884.67,3174583
12-Apr-17,903.09,904.09,895.25,896.23,2456140
11-Apr-17,907.04,911.24,897.5,902.36,3012743
10-Apr-17,899.63,908.51,899,907.04,3184301
7-Apr-17,899.65,900.09,889.31,894.88,3710922
6-Apr-17,913.8,917.19,894.49,898.28,6344065
5-Apr-17,910.82,923.72,905.62,909.28,7508370
4-Apr-17,891.5,908.54,890.28,906.83,4984656
3-Apr-17,888,893.49,885.42,891.51,3422328
31-Mar-17,877,890.35,876.65,886.54,3957612
30-Mar-17,874.95,877.06,871.66,876.34,2762730
29-Mar-17,859.05,876.44,859.02,874.32,4485770
28-Mar-17,851.75,858.46,850.1,856,3041633
27-Mar-17,838.07,850.3,833.5,846.82,2755775
24-Mar-17,851.68,851.8,843.53,845.61,2138269
23-Mar-17,848.2,850.89,844.8,847.38,1952964
22-Mar-17,840.43,849.37,839.05,848.06,2658669
21-Mar-17,858.84,862.8,841.31,843.2,4382852
20-Mar-17,851.51,857.8,851.01,856.97,2282727
17-Mar-17,853.49,853.83,850.64,852.31,3384403
16-Mar-17,855.3,855.5,850.51,853.42,1842296
15-Mar-17,854.33,854.45,847.11,852.97,2562176
14-Mar-17,853.55,853.75,847.55,852.53,2130586
13-Mar-17,851.77,855.69,851.71,854.59,1909672
10-Mar-17,857,857.35,851.72,852.46,2436434
9-Mar-17,851,856.4,850.31,853,2048187
8-Mar-17,848,853.07,846.79,850.5,2288317
7-Mar-17,845.48,848.46,843.75,846.02,2247554
6-Mar-17,845.23,848.49,841.12,846.61,2610370
3-Mar-17,847.2,851.98,846.27,849.88,1951575
2-Mar-17,853.08,854.82,847.28,848.91,2132098
1-Mar-17,853.05,854.83,849.01,853.08,2760083
28-Feb-17,851.45,854.09,842.05,845.04,2793709
27-Feb-17,842.38,852.5,839.67,848.64,2713627
24-Feb-17,844.69,845.81,837.75,845.24,3687963
23-Feb-17,857.57,860.86,848,852.19,3461984
22-Feb-17,856.95,858.43,852.18,855.61,2616971
21-Feb-17,848.84,857.98,847.25,856.44,3507742
17-Feb-17,842,847.27,840.73,845.07,3112275
16-Feb-17,841.84,845,839.38,844.14,2714667
15-Feb-17,834,842.81,832.82,842.7,2968853
14-Feb-17,837,838.31,831.45,836.39,2792442
13-Feb-17,831.62,843,828.55,836.53,4172618
10-Feb-17,823.82,828,822.85,827.46,2429609
9-Feb-17,821.6,825,819.71,821.36,2484948
8-Feb-17,812.69,821.48,812.5,819.71,2857985
7-Feb-17,809.31,816.16,807.5,812.5,3466091
6-Feb-17,809.8,810.72,803,807.64,3897301
3-Feb-17,806.72,818.3,804,810.2,10868773
2-Feb-17,836.59,842.49,828.26,839.95,7350492
1-Feb-17,829.21,833.78,824.94,832.35,3850181
31-Jan-17,823.75,826.99,819.56,823.48,3137196
30-Jan-17,833,833.5,816.38,830.38,3747336
27-Jan-17,839,839.7,829.44,835.77,2998700
26-Jan-17,835.53,843.84,833,839.15,3586323
25-Jan-17,825.79,837.42,825.29,836.52,4023078
24-Jan-17,822,823.99,814.5,822.44,2971740
23-Jan-17,806.8,818.5,805.08,817.88,2797474
20-Jan-17,815.28,816.02,806.26,808.33,3376196
19-Jan-17,810,813.51,807.32,809.04,2540784
18-Jan-17,809.5,811.73,804.27,807.48,2354201
17-Jan-17,815.7,816,803.44,809.72,3670529
13-Jan-17,814.32,821.65,811.4,817.14,3791945
12-Jan-17,800.31,814.13,799.5,813.64,4873922
11-Jan-17,793.66,799.5,789.51,799.02,2992791
10-Jan-17,796.6,798,789.54,795.9,2558369
9-Jan-17,798,801.77,791.77,796.92,3446109
6-Jan-17,782.36,799.44,778.48,795.99,5986234
5-Jan-17,761.55,782.4,760.26,780.45,5830068
4-Jan-17,758.39,759.68,754.2,757.18,2510526
3-Jan-17,757.92,758.76,747.7,753.67,3521066
30-Dec-16,766.47,767.4,748.28,749.87,4139449
29-Dec-16,772.4,773.4,760.85,765.15,3158299
28-Dec-16,776.25,780,770.5,772.13,3301025
27-Dec-16,763.4,774.65,761.2,771.4,2638725
23-Dec-16,764.55,766.5,757.99,760.59,1981616
22-Dec-16,768.12,771.21,763.02,766.34,2543551
21-Dec-16,770,771.22,765.7,770.6,2044629
20-Dec-16,768.65,774.39,767.71,771.22,2703629
19-Dec-16,758.89,770.5,756.16,766,3113240
16-Dec-16,765,765.13,754,757.77,4848219
15-Dec-16,766.28,769.1,760.31,761,3801927
14-Dec-16,778.25,780.86,762.81,768.82,5454836
